timestamp,cpu_user,cpu_system,cpu_idle,cpu_iowait,cpu_steal,mem_total_kb,mem_used_kb,mem_free_kb,mem_cached_kb,disk_read_bytes,disk_write_bytes,net_rx_bytes,net_tx_bytes
1767801008,50.199999999999825,0.40000000000006253,49.30000000000063,0,0.10000000000000009,3573840,361016,1235688,1977108,0,0,52,39
1767801013,50.29999999999972,0.19999999999996018,49.499999999999325,0,0,3573840,360760,1235940,1977112,5734,7372,177,160
1767801018,50.35035035035118,0.40040040040047176,49.24924924924877,0,0,3573840,360496,1235940,1977376,0,1638,64,48
1767801023,50.300601202403385,0.30060120240480676,49.39879759519209,0,0,3573864,360508,1235948,1977380,0,4915,120,101
1767801028,50.20000000000439,0.39999999999995683,49.299999999996025,0.09999999999991814,0,3573864,360944,1235448,1977444,34406,4710,66,52
1767801033,50.25025025024659,0.30030030030029087,49.44944944945227,0,0,3573864,360684,1235704,1977448,0,0,144,123
1767801038,50.30060120240224,0.30060120240480676,49.39879759519323,0,0,3573860,359092,1237244,1977496,0,2457,52,39
1767801043,50.45045045045119,0.40040040040047176,49.14914914914876,0,0,3573860,359304,1237028,1977500,0,81920,3169,10360
1767801048,50.249750249750015,0.5994005994004671,49.150849150848806,0,0,3573856,360544,1235524,1977760,0,6553,88,69
1767801053,50.300601202406824,0.3006012024048342,49.398797595188626,0,0,3573856,360532,1235528,1977768,0,0,133,114
1767801058,50.24975024974888,0.29970029970030454,49.35064935065109,0,0,3573856,360696,1235312,1977820,0,6041,66,52
1767801063,50.300601202406824,0.3006012024048342,49.39879759518748,0,0,3573856,361192,1234812,1977824,0,0,131,110
1767801068,50.29999999999972,0.40000000000006253,49.30000000000063,0,0,3573856,360864,1235092,1977872,0,0,66,52
1767801073,50.20040080160532,0.4008016032063506,49.398797595188626,0,0,3573856,362120,1233832,1977876,6553,819,190,174
1767801078,50.299999999996295,0.4999999999999261,49.20000000000307,0,0,3573856,360344,1235344,1978140,0,126156,64,48
1767801083,50.25025025025117,0.30030030030031823,49.4494494494488,0,0,3573856,360336,1235348,1978144,0,7372,120,101
1767801088,50.25025025025117,0.40040040040047176,49.34934934934879,0,0,3573856,361760,1233876,1978192,0,12185,79,66
1767801093,50.25025025025117,0.30030030030031823,49.4494494494488,0,0,3573856,362512,1233120,1978196,0,0,144,123
1767801098,50.25025025025117,0.4004004004003294,49.34934934934765,0,0,3573856,362456,1233120,1978252,0,0,52,39
1767801103,50.350350350347725,0.30030030030029087,49.349349349352266,0,0,3573856,362648,1232924,1978256,0,0,1308,10232
1767801108,50.74925074925353,1.6983016983018326,47.352647352645036,0,0.09990009990010688,3573616,367056,1227956,1978576,11468,0,1971,205
1767801113,50.350350350346595,0.4004004004004353,49.24924924925226,0,0,3573608,367292,1227704,1978584,1638,0,1976,224
1767801118,50.300000000000864,0.7999999999999831,48.899999999999864,0,0,3573736,362060,1233000,1978648,0,91852,52,39
1767801123,20.520520520520513,0.2002002002001647,79.27927927927946,0,0,3573756,360072,1235004,1978652,0,0,144,123
1767801128,0.10020040080150733,0.20040080160315704,99.69939879759434,0,0,3573760,360028,1235004,1978700,0,0,79,66
1767801133,0.19999999999981813,0.20000000000010232,99.60000000000036,0,0,3573784,360048,1235004,1978704,0,0,164,147
1767801138,0.20040080160417206,0.3006012024048342,99.49899799599127,0,0,3573768,359760,1235004,1978976,0,819,90,74
1767801143,0.19999999999981813,0.19999999999996018,99.60000000000036,0,0,3573784,359768,1235004,1978984,0,13926,146,128
1767801148,0.10010010010001123,0.2002002002001647,99.69969969969996,0,0,3573784,359716,1235004,1979036,0,9830,52,39
1767801153,0.30030030030003374,0.10010010010015351,99.59959959959996,0,0,3573784,359712,1235004,1979040,0,9011,144,123
1767801158,0.20040080160301466,0.10020040080164971,99.69939879759434,0,0,3573784,359664,1235004,1979088,0,0,79,66
1767801163,0.19999999999981813,0.19999999999996018,99.60000000000036,0,0,3573784,359660,1235004,1979092,0,84377,3164,10357
1767801168,0.19999999999981813,0.39999999999992036,99.40000000000055,0,0,3573760,359372,1235004,1979356,0,2457,77,61
1767801173,0.10030090270918002,0.20060180541636455,99.69909729187474,0,0,3573760,359368,1235004,1979360,0,54886,159,128
1767801178,0.1998001998000137,0.1998001998001557,99.60039960039997,0,0,3573760,359320,1235004,1979408,0,38297,105,79
